project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean,clim,height_correction,area,model_member
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,tas,SON,CEU,285.6322,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,tas,SON,MED,293.203,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snw,ANN,NEU,19.16616,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snw,ANN,CEU,2.215585,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snw,ANN,MED,0.002502978,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snw,DJF,NEU,41.22438,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snw,DJF,CEU,6.460638,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snw,DJF,MED,0.009960278,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snw,MAM,NEU,33.54371,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snw,MAM,CEU,2.218415,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snw,MAM,MED,4.458684e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snw,JJA,NEU,0.0,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snw,JJA,CEU,0.0,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snw,JJA,MED,0.0,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snw,SON,NEU,1.896543,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snw,SON,CEU,0.1832878,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2036-01-01 to 2065-12-31,r1i1p1,snw,SON,MED,7.047977e-06,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,pr,ANN,NEU,3.113621e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,pr,ANN,CEU,3.231863e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,pr,ANN,MED,1.245526e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,pr,DJF,NEU,3.112356e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,pr,DJF,CEU,3.309214e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,pr,DJF,MED,1.374479e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,pr,MAM,NEU,2.644466e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,pr,MAM,CEU,3.183859e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,pr,MAM,MED,1.686464e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,pr,JJA,NEU,3.143024e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,pr,JJA,CEU,3.200465e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,pr,JJA,MED,7.379087e-06,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,pr,SON,NEU,3.554636e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,pr,SON,CEU,3.233915e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,pr,SON,MED,1.183252e-05,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,rsds,ANN,NEU,110.2993,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,rsds,ANN,CEU,149.4911,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,rsds,ANN,MED,223.8776,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,rsds,DJF,NEU,14.78349,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,rsds,DJF,CEU,38.34462,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,rsds,DJF,MED,121.354,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,rsds,MAM,NEU,149.9016,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,rsds,MAM,CEU,192.2444,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,rsds,MAM,MED,261.2221,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,rsds,JJA,NEU,233.3132,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,rsds,JJA,CEU,276.0468,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,rsds,JJA,MED,325.8268,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,rsds,SON,NEU,43.19914,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,rsds,SON,CEU,91.32859,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,rsds,SON,MED,187.1074,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,snc,ANN,NEU,15.55268,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,snc,ANN,CEU,2.23556,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,snc,ANN,MED,0.008481109,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,snc,DJF,NEU,37.24334,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,snc,DJF,CEU,6.855224,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,snc,DJF,MED,0.03257369,seasonal,False,land only,MIROC-ESM_r1i1p1
CMIP5,MIROC-ESM,rcp45,2070-01-01 to 2099-12-31,r1i1p1,snc,MAM,NEU,21.3452,seasonal,False,land only,MIROC-ESM_r1i1p1
