project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean,height_correction,model_member,RCM,GCM,Domain
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2036-01-01 to 2065-12-31,r1i1p1,pr,MAM,deutschland,3.082709e-05,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2036-01-01 to 2065-12-31,r1i1p1,pr,JJA,deutschland,3.600759e-05,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2036-01-01 to 2065-12-31,r1i1p1,pr,SON,deutschland,3.013823e-05,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2070-01-01 to 2099-12-31,r1i1p1,tas,ANN,deutschland,281.9157,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2070-01-01 to 2099-12-31,r1i1p1,tas,DJF,deutschland,273.6827,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2070-01-01 to 2099-12-31,r1i1p1,tas,MAM,deutschland,280.6215,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2070-01-01 to 2099-12-31,r1i1p1,tas,JJA,deutschland,291.1208,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2070-01-01 to 2099-12-31,r1i1p1,tas,SON,deutschland,282.0819,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2070-01-01 to 2099-12-31,r1i1p1,snw,ANN,deutschland,2.6441,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2070-01-01 to 2099-12-31,r1i1p1,snw,DJF,deutschland,6.691677,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2070-01-01 to 2099-12-31,r1i1p1,snw,MAM,deutschland,3.777371,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2070-01-01 to 2099-12-31,r1i1p1,snw,JJA,deutschland,0.06015041,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
