project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean,height_correction,model_member,RCM,GCM,Domain
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,tas,JJA,NEU,284.6642,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,tas,SON,CEU,280.3657,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,tas,SON,MED,288.5986,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,1981-01-01 to 2010-12-31,r1i1p1,tas,SON,NEU,276.078,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,ANN,CEU,2.874909e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,ANN,MED,1.839333e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,ANN,NEU,3.200032e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,DJF,CEU,2.51964e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,DJF,MED,2.728088e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,DJF,NEU,2.686916e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,MAM,CEU,2.81044e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,MAM,MED,1.905458e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,MAM,NEU,2.565916e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,JJA,CEU,3.608413e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,JJA,MED,8.655054e-06,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,JJA,NEU,3.912084e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,SON,CEU,2.550814e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,SON,MED,1.875115e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,pr,SON,NEU,3.630109e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,tas,ANN,CEU,281.6722,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,tas,ANN,MED,289.5977,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,tas,ANN,NEU,277.3261,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,tas,DJF,CEU,271.9232,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,tas,DJF,MED,280.9831,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,tas,DJF,NEU,269.5217,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,tas,MAM,CEU,281.4081,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,tas,MAM,MED,287.9796,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,tas,MAM,NEU,275.5705,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,tas,JJA,CEU,290.9734,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,tas,JJA,MED,298.7067,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,tas,JJA,NEU,285.9581,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,tas,SON,CEU,282.2061,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,tas,SON,MED,290.5697,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2036-01-01 to 2065-12-31,r1i1p1,tas,SON,NEU,278.1161,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,pr,ANN,CEU,2.933738e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,pr,ANN,MED,1.615209e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,pr,ANN,NEU,3.277624e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,pr,DJF,CEU,2.727655e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,pr,DJF,MED,2.406357e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,pr,DJF,NEU,2.876237e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,pr,MAM,CEU,2.964044e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,pr,MAM,MED,1.6729e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,pr,MAM,NEU,2.68326e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,pr,JJA,CEU,3.457995e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,pr,JJA,MED,7.118467e-06,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,pr,JJA,NEU,3.750546e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,pr,SON,CEU,2.577246e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,pr,SON,MED,1.686104e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,pr,SON,NEU,3.798163e-05,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,tas,ANN,CEU,283.3564,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,tas,ANN,MED,291.4004,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,tas,ANN,NEU,278.7856,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,tas,DJF,CEU,274.3088,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,tas,DJF,MED,282.6707,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,tas,DJF,NEU,271.1897,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,tas,MAM,CEU,282.8702,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
EURO-CORDEX,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11,rcp85,2070-01-01 to 2099-12-31,r1i1p1,tas,MAM,MED,289.8333,False,UHOH-WRF361H_MPI-M-MPI-ESM-LR_EUR-11_r1i1p1,UHOH-WRF361H,MPI-M-MPI-ESM-LR,EUR-11
